Patch,Project,Bug,Test,Seed,Test Number,Failing Tests,Time,
patch-Chart-12-fix.patch,Chart,12,DRR_Evosuite,0,28,0,3.123,
patch-Chart-12-fix.patch,Chart,12,DRR_Evosuite,1,28,0,2.259,
patch-Chart-12-fix.patch,Chart,12,DRR_Evosuite,2,28,0,2.022,
patch-Chart-12-fix.patch,Chart,12,DRR_Evosuite,3,28,0,2.084,
patch-Chart-12-fix.patch,Chart,12,DRR_Evosuite,4,30,0,2.025,
patch-Chart-12-fix.patch,Chart,12,DRR_Evosuite,5,27,0,2.166,
patch-Chart-12-fix.patch,Chart,12,DRR_Evosuite,6,30,0,2.15,
patch-Chart-12-fix.patch,Chart,12,DRR_Evosuite,7,24,0,2.02,
patch-Chart-12-fix.patch,Chart,12,DRR_Evosuite,8,27,0,2.169,
patch-Chart-12-fix.patch,Chart,12,DRR_Evosuite,9,29,0,2.65,
patch-Chart-12-fix.patch,Chart,12,DRR_Evosuite,10,26,0,2.123,
patch-Chart-12-fix.patch,Chart,12,DRR_Evosuite,11,26,0,2.683,
patch-Chart-12-fix.patch,Chart,12,DRR_Evosuite,12,28,0,2.14,
patch-Chart-12-fix.patch,Chart,12,DRR_Evosuite,13,32,0,3.28,
patch-Chart-12-fix.patch,Chart,12,DRR_Evosuite,14,28,0,2.121,
patch-Chart-12-fix.patch,Chart,12,DRR_Evosuite,15,29,0,2.056,
patch-Chart-12-fix.patch,Chart,12,DRR_Evosuite,16,29,0,2.094,
patch-Chart-12-fix.patch,Chart,12,DRR_Evosuite,17,27,0,2.514,
patch-Chart-12-fix.patch,Chart,12,DRR_Evosuite,18,32,0,2.038,
patch-Chart-12-fix.patch,Chart,12,DRR_Evosuite,19,28,2,2.237,"1) test15(org.jfree.chart.plot.MultiplePiePlot_ESTest)	at org.jfree.chart.plot.MultiplePiePlot_ESTest.test15(MultiplePiePlot_ESTest.java:241)2) test16(org.jfree.chart.plot.MultiplePiePlot_ESTest)	at org.jfree.chart.plot.MultiplePiePlot_ESTest.test16(MultiplePiePlot_ESTest.java:258)",,,"java.lang.ClassCastException: java.util.Date cannot be cast to org.evosuite.runtime.mock.java.util.MockDate	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)java.lang.ClassCastException: java.util.Date cannot be cast to org.evosuite.runtime.mock.java.util.MockDate	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)",
patch-Chart-12-fix.patch,Chart,12,DRR_Evosuite,20,28,0,1.979,
patch-Chart-12-fix.patch,Chart,12,DRR_Evosuite,21,28,0,2.154,
patch-Chart-12-fix.patch,Chart,12,DRR_Evosuite,22,30,0,1.95,
patch-Chart-12-fix.patch,Chart,12,DRR_Evosuite,23,30,0,2.066,
patch-Chart-12-fix.patch,Chart,12,DRR_Evosuite,24,30,0,2.186,
patch-Chart-12-fix.patch,Chart,12,DRR_Evosuite,25,29,0,2.171,
patch-Chart-12-fix.patch,Chart,12,DRR_Evosuite,26,29,0,2.148,
patch-Chart-12-fix.patch,Chart,12,DRR_Evosuite,27,28,0,2.71,
patch-Chart-12-fix.patch,Chart,12,DRR_Evosuite,28,28,0,2.659,
patch-Chart-12-fix.patch,Chart,12,DRR_Evosuite,29,28,0,2.59,
patch-Chart-24-fix.patch,Chart,24,DRR_Evosuite,0,8,0,0.314,
patch-Chart-24-fix.patch,Chart,24,DRR_Evosuite,1,9,0,0.315,
patch-Chart-24-fix.patch,Chart,24,DRR_Evosuite,2,9,0,0.315,
patch-Chart-24-fix.patch,Chart,24,DRR_Evosuite,3,8,0,0.315,
patch-Chart-24-fix.patch,Chart,24,DRR_Evosuite,4,8,0,0.314,
patch-Chart-24-fix.patch,Chart,24,DRR_Evosuite,5,9,0,0.316,
patch-Chart-24-fix.patch,Chart,24,DRR_Evosuite,6,9,0,0.304,
patch-Chart-24-fix.patch,Chart,24,DRR_Evosuite,7,9,0,0.315,
patch-Chart-24-fix.patch,Chart,24,DRR_Evosuite,8,8,0,0.322,
