patch1-Chart-1-Arja-plausible,Chart,1,Incorrect
patch1-Chart-5-DeepRepair,Chart,5,Correct
patch2-Chart-1-Arja-plausible,Chart,1,Incorrect
patch3-Chart-1-Arja-plausible,Chart,1,Incorrect
patch4-Chart-1-Arja-plausible,Chart,1,Incorrect
patch1-Chart-13-Arja-plausible,Chart,13,
patch2-Chart-13-Arja-plausible,Chart,13,
patch1-Chart-7-Arja-plausible,Chart,1,
patch1-Chart-7-Arja-plausible,Chart,7,Correct
patch1-Chart-15-Arja-plausible,Chart,15,Correct
patch2-Chart-15-Arja-plausible,Chart,15,Correct
patch3-Chart-15-Arja-plausible,Chart,15,Correct
patch1-Chart-25-Arja-plausible,Chart,19,
patch1-Chart-19-Arja-plausible,Chart,19,Correct
patch1-Chart-25-Arja-plausible,Chart,25,Correct
patch2-Chart-25-Arja-plausible,Chart,25,Correct
patch3-Chart-25-Arja-plausible,Chart,25,Incorrect
patch4-Chart-25-Arja-plausible,Chart,25,Correct
patch5-Chart-25-Arja-plausible,Chart,25,Correct
patch1-Math-28-ACS-plausible,Math,28,Correct
patch1-Math-73-ACS-plausible,Math,73,Correct
patch1-Math-81-ACS-plausible,Math,81,Correct
patch1-Math-97-ACS-plausible,Math,97,Correct
patch1-Lang-16-Arja-plausible,Lang,16,Correct
patch1-Lang-20-Arja-plausible,Lang,20,Correct
patch1-Lang-22-Arja-plausible,Lang,22,Correct
patch3-Lang-63-Arja-plausible,Lang,63,
patch9-Lang-59-Arja-plausible,Lang,59,
patch6-Lang-50-Arja-plausible,Lang,50,
patch2-Lang-51-Arja-plausible,Lang,51,
patch4-Lang-55-Arja-plausible,Lang,55,
patch4-Lang-61-Arja-plausible,Lang,61,
patch4-Lang-43-Arja-plausible,Lang,43,
patch1-Lang-60-Arja-plausible,Lang,60,
patch9-Math-20-Arja-plausible,Math,20,
patch6-Math-8-Arja-plausible,Math,8,
patch1-Lang-39-Arja-plausible,Lang,39,Correct
patch1-Lang-41-Arja-plausible,Lang,41,Correct
patch1-Lang-50-Arja-plausible,Lang,50,Correct
patch1-Lang-51-Arja-plausible,Lang,51,Correct
patch1-Lang-55-Arja-plausible,Lang,55,Incorrect
patch1-Lang-59-Arja-plausible,Lang,59,Correct
patch1-Lang-59-Arja-plausible,Lang,59,Correct
patch1-Math-73-Arja,Math,73,Correct
patch1-Math-73-JGenProg2015,Math,73,Incorrect
patch1-Lang-60-Arja-plausible,Lang,60,Incorrect
patch1-Lang-63-Arja-plausible,Lang,63,Correct
patch2-Lang-16-Arja-plausible,Lang,16,Correct
patch2-Lang-20-Arja-plausible,Lang,20,
patch2-Lang-22-Arja-plausible,Lang,22,Incorrect
patch7-Lang-59-Arja-plausible,Lang,59,Correct
patch3-Lang-22-Arja-plausible,Lang,22,Incorrect
patch3-Lang-50-Arja-plausible,Lang,50,Correct
patch3-Lang-51-Jaid-plausible,Lang,51,Correct
patch3-Lang-55-Arja-plausible,Lang,55,Incorrect
patch3-Lang-59-CapGen-plausible,Lang,59,
patch3-Lang-63-Arja-plausible,Lang,63,Correct
patch4-Lang-59-CapGen-plausible,Lang,59,
patch5-Lang-63-Arja-plausible,Lang,63,Correct
patch6-Lang-50-Arja-plausible,Lang,50,Correct
patch-Lang-2-ssFix-plausible,Lang,2,Correct
patch-Lang-27-ssFix-plausible,Lang,27,Correct
patch1-Math-104-Elixir-plausible,Math,104,Correct
patch1-Math-2-Elixir-plausible,Math,2,Correct
patch1-Math-2-JGenProg2015-plausible,Math,2,Correct
